Project,File Path,Line Count
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\ProfileFileViewModel.cs,57
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\ProfilesViewModel.cs,330
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\ProfileViewModel.cs,3283
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\PuTTYConnectViewModel.cs,322
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\PuTTYHostViewModel.cs,793
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\PuTTYSettingsViewModel.cs,551
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\RemoteDesktopConnectViewModel.cs,170
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\RemoteDesktopHostViewModel.cs,655
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\RemoteDesktopSettingsViewModel.cs,761
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\ServerConnectionInfoProfileViewModel.cs,189
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\SettingsAppearanceViewModel.cs,157
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\SettingsAutostartViewModel.cs,121
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\SettingsGeneralViewModel.cs,215
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\SettingsHotKeysViewModel.cs,79
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\SettingsLanguageViewModel.cs,107
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\SettingsNetworkViewModel.cs,108
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\SettingsProfilesViewModel.cs,318
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\SettingsSettingsViewModel.cs,86
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\SettingsStatusViewModel.cs,67
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\SettingsUpdateViewModel.cs,87
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\SettingsViewModel.cs,368
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\SettingsWindowViewModel.cs,143
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\SNMPHostViewModel.cs,452
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\SNMPOIDProfilesViewModel.cs,75
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\SNMPOIDProfileViewModel.cs,136
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\SNMPSettingsViewModel.cs,226
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\SNMPViewModel.cs,791
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\SNTPLookupHostViewModel.cs,114
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\SNTPLookupSettingsViewModel.cs,210
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\SNTPLookupViewModel.cs,312
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\SubnetCalculatorCalculatorViewModel.cs,143
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\SubnetCalculatorHostViewModel.cs,12
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\SubnetCalculatorSubnettingViewModel.cs,320
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\SubnetCalculatorWideSubnetViewModel.cs,186
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\TigerVNCConnectViewModel.cs,68
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\TigerVNCHostViewModel.cs,588
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\TigerVNCSettingsViewModel.cs,150
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\TracerouteHostViewModel.cs,437
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\TracerouteSettingsViewModel.cs,124
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\TracerouteViewModel.cs,482
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\ViewModelBase.cs,14
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\WakeOnLANSettingsViewModel.cs,48
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\WakeOnLANViewModel.cs,523
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\WebConsoleConnectViewModel.cs,46
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\WebConsoleHostViewModel.cs,551
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\WebConsoleSettingsViewModel.cs,48
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\WelcomeViewModel.cs,91
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\WhoisHostViewModel.cs,431
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\WhoisViewModel.cs,287
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\WiFiConnectViewModel.cs,373
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\WiFiViewModel.cs,924
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\AboutView.xaml.cs,32
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\ARPTableAddEntryDialog.xaml.cs,16
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\ARPTableView.xaml.cs,102
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\AWSProfileDialog.xaml.cs,16
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\AWSSessionManagerConnectDialog.xaml.cs,16
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\AWSSessionManagerHostView.xaml.cs,57
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\AWSSessionManagerSettingsView.xaml.cs,46
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\BitCalculatorSettingsView.xaml.cs,14
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\BitCalculatorView.xaml.cs,25
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\ConfirmDeleteDialog.xaml.cs,9
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\ConnectionsView.xaml.cs,102
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\CredentialsChangePasswordDialog.xaml.cs,16
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\CredentialsPasswordDialog.xaml.cs,16
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\CredentialsPasswordProfileFileDialog.xaml.cs,16
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\CredentialsSetPasswordDialog.xaml.cs,16
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\CustomCommandDialog.xaml.cs,16
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\DashboardSettingsView.xaml.cs,14
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\DashboardView.xaml.cs,29
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\DiscoveryProtocolView.xaml.cs,25
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\DNSLookupHostView.xaml.cs,45
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\DNSLookupSettingsView.xaml.cs,29
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\DNSLookupView.xaml.cs,45
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\DropdownDialog.xaml.cs,15
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\ExportDialog.xaml.cs,9
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\GroupDialog.xaml.cs,23
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\IPAddressAndSubnetmaskDialog.xaml.cs,16
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\IPAddressDialog.xaml.cs,16
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\IPApiDNSResolverWidgetView.xaml.cs,20
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\IPApiIPGeolocationWidgetView.xaml.cs,20
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\IPGeolocationHostView.xaml.cs,40
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\IPGeolocationView.xaml.cs,38
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\IPScannerHostView.xaml.cs,45
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\IPScannerSettingsView.xaml.cs,28
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\IPScannerView.xaml.cs,169
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\ListenersView.xaml.cs,78
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\LookupHostView.xaml.cs,24
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\LookupOUILookupView.xaml.cs,23
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\LookupPortLookupView.xaml.cs,23
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\NetworkConnectionWidgetView.xaml.cs,25
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\NetworkInterfaceView.xaml.cs,33
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\PingMonitorHostView.xaml.cs,46
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\PingMonitorSettingsView.xaml.cs,14
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\PingMonitorView.xaml.cs,47
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\PortProfileDialog.xaml.cs,16
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\PortProfilesDialog.xaml.cs,26
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\PortScannerHostView.xaml.cs,45
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\PortScannerSettingsView.xaml.cs,29
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\PortScannerView.xaml.cs,45
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\PowerShellConnectDialog.xaml.cs,16
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\PowerShellHostView.xaml.cs,64
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\PowerShellSettingsView.xaml.cs,33
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\ProfileDialog.xaml.cs,40
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\ProfileFileDialog.xaml.cs,16
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\ProfilesView.xaml.cs,48
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\PuTTYConnectDialog.xaml.cs,16
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\PuTTYHostView.xaml.cs,64
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\PuTTYSettingsView.xaml.cs,103
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\RemoteDesktopConnectDialog.xaml.cs,16
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\RemoteDesktopHostView.xaml.cs,57
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\RemoteDesktopSettingsView.xaml.cs,14
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\ServerConnectionInfoProfileDialog.xaml.cs,24
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\SettingsAppearanceView.xaml.cs,14
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\SettingsAutostartView.xaml.cs,15
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\SettingsGeneralView.xaml.cs,22
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\SettingsHotKeysView.xaml.cs,14
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\SettingsLanguageView.xaml.cs,14
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\SettingsNetworkView.xaml.cs,14
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\SettingsProfilesView.xaml.cs,40
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\SettingsSettingsView.xaml.cs,27
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\SettingsStatusView.xaml.cs,14
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\SettingsUpdateView.xaml.cs,14
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\SettingsView.xaml.cs,48
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\SettingsWindowView.xaml.cs,14
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\SNMPHostView.xaml.cs,45
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\SNMPOIDProfileDialog.xaml.cs,16
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\SNMPOIDProfilesDialog.xaml.cs,26
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\SNMPSettingsView.xaml.cs,29
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\SNMPView.xaml.cs,85
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\SNTPLookupHostView.xaml.cs,24
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\SNTPLookupSettingsView.xaml.cs,29
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\SNTPLookupView.xaml.cs,40
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\SubnetCalculatorCalculatorView.xaml.cs,14
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\SubnetCalculatorHostView.xaml.cs,24
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\SubnetCalculatorSubnettingView.xaml.cs,31
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\SubnetCalculatorWideSubnetView.xaml.cs,22
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\TigerVNCConnectDialog.xaml.cs,16
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\TigerVNCHostView.xaml.cs,60
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Views\TigerVNCSettingsView.xaml.cs,33
