Project,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
SimplCommerce,AppSetting,0,1,3,0,1,12,1,0,0,-1,1,12
SimplCommerce,Content,1,1,14,0,0,43,1,3,1,0,2,3
SimplCommerce,Country,0,1,8,0,1,18,1,0,0,-1,2,10
SimplCommerce,CustomerGroup,0,1,7,0,1,17,1,0,1,-1,2,5
SimplCommerce,CustomerGroupUser,0,0,4,0,0,7,0,0,0,-1,2,4
SimplCommerce,District,0,2,5,0,2,16,2,0,1,-1,2,6
SimplCommerce,Entity,0,0,5,0,0,13,0,0,1,-1,2,10
SimplCommerce,EntityType,0,2,5,0,2,20,2,0,0,-1,1,6
SimplCommerce,Media,0,0,4,0,0,9,0,0,1,-1,2,11
SimplCommerce,MediaType,0,0,0,0,0,6,0,0,0,-1,0,3
SimplCommerce,Role,0,0,1,0,0,4,0,0,1,-1,2,8
SimplCommerce,SimplConstants,1,0,0,1,0,4,0,0,0,-1,0,1
SimplCommerce,StateOrProvince,0,2,5,0,2,20,2,0,1,-1,2,11
SimplCommerce,ThemeManifest,0,0,4,0,0,7,0,0,0,-1,0,1
SimplCommerce,User,1,1,16,1,1,30,1,0,1,0,5,42
SimplCommerce,UserAddress,0,0,6,0,0,9,0,0,1,-1,4,9
SimplCommerce,UserRole,0,0,4,0,0,7,0,0,0,-1,2,8
SimplCommerce,Vendor,0,1,9,0,1,20,1,0,1,-1,2,4
SimplCommerce,Widget,0,1,7,0,1,26,1,0,0,-1,1,5
SimplCommerce,WidgetInstance,0,1,13,0,1,32,1,0,1,-1,3,15
SimplCommerce,WidgetZone,0,1,2,0,1,11,1,0,1,-1,1,3
SimplCommerce,WidgetZoneIds,3,0,0,3,0,6,0,0,0,-1,0,0
SimplCommerce,CurrencyService,1,2,1,0,2,16,2,0,1,0,1,1
SimplCommerce,EntityService,2,6,0,0,6,58,9,0,1,0,4,1
SimplCommerce,IContentLocalizationService,0,6,0,0,0,9,6,1,0,-1,1,18
SimplCommerce,ICurrencyService,0,1,1,0,0,5,1,1,0,-1,0,30
SimplCommerce,IEmailSender,0,1,0,0,0,4,1,2,0,-1,0,9
SimplCommerce,IEntityService,0,5,0,0,0,8,5,1,0,-1,1,9
SimplCommerce,IMediaService,0,6,0,0,0,9,6,1,0,-1,1,29
SimplCommerce,IPdfConverter,0,1,0,0,0,4,1,1,0,-1,0,3
SimplCommerce,ISettingService,0,7,0,0,0,51,7,1,0,-1,1,3
SimplCommerce,ISmsSender,0,1,0,0,0,4,1,1,0,-1,0,4
SimplCommerce,IStorageService,0,3,0,0,0,6,3,3,0,-1,0,7
SimplCommerce,IThemeService,0,5,0,0,0,8,5,1,0,-1,1,3
SimplCommerce,IWidgetInstanceService,0,1,0,0,0,4,1,1,0,-1,1,3
SimplCommerce,MediaService,2,7,0,0,7,39,8,0,1,0.289999992,4,1
SimplCommerce,SettingService,3,10,0,0,8,89,14,0,1,0,4,1
SimplCommerce,SmsSender,0,1,0,0,1,8,1,0,1,-1,1,1
SimplCommerce,ThemeService,3,7,0,0,6,115,14,0,1,0.430000007,7,1
SimplCommerce,WidgetInstanceService,1,2,0,0,2,15,2,0,1,0,3,2
SimplCommerce,CategoryBreadcrumbViewComponent,2,3,0,0,2,50,5,0,0,0,4,0
SimplCommerce,CategoryMenuViewComponent,2,3,0,0,2,38,5,0,0,0,4,0
SimplCommerce,CategoryWidgetViewComponent,3,2,0,0,2,35,3,0,0,0,9,0
SimplCommerce,ProductWidgetViewComponent,4,2,0,0,2,48,5,0,0,0,10,0
SimplCommerce,SimpleProductWidgetViewComponent,4,2,0,0,2,39,4,0,0,0,10,0
SimplCommerce,BrandApiController,2,6,0,0,6,85,9,0,0,0,5,0
SimplCommerce,BrandController,7,4,0,0,2,130,13,0,0,0,12,0
SimplCommerce,CategoryApiController,4,11,0,0,8,198,25,0,0,0,9,0
SimplCommerce,CategoryController,7,4,0,0,2,151,14,0,0,0,13,0
SimplCommerce,CategoryTranslationApiController,2,4,0,0,3,70,8,0,0,0,4,0
SimplCommerce,CategoryWidgetApiController,1,4,0,0,4,65,6,0,0,0,4,0
SimplCommerce,ProductApiController,9,21,0,0,8,813,94,0,0,0,28,0
SimplCommerce,ProductAttributeApiController,1,6,0,0,6,79,9,0,0,0,3,0
SimplCommerce,ProductAttributeGroupApiController,1,6,0,0,6,75,9,0,0,0,3,0
SimplCommerce,ProductCloneApiController,4,4,0,0,3,69,6,0,0,0.5,8,0
SimplCommerce,ProductController,5,7,0,0,3,183,18,0,0,0.289999992,17,0
SimplCommerce,ProductOptionApiController,1,6,0,0,6,69,9,0,0,0,3,0
SimplCommerce,ProductPriceApiController,2,3,0,0,3,90,12,0,0,0,6,0
SimplCommerce,ProductTemplateApiController,3,6,0,0,6,111,13,0,0,0,6,0
SimplCommerce,ProductTranslationApiController,2,4,0,0,3,76,8,0,0,0,4,0
SimplCommerce,ProductWidgetApiController,1,5,0,0,5,72,7,0,0,0.400000006,6,0
SimplCommerce,SimpleProductWidgetApiController,1,4,0,0,4,69,7,0,0,0,5,0
SimplCommerce,BrandForm,0,1,3,0,1,12,1,1,0,-1,0,2
SimplCommerce,BrandVm,0,0,1,0,0,4,0,0,1,-1,1,1
SimplCommerce,CategoryForm,0,1,13,0,1,22,1,0,0,-1,0,1
SimplCommerce,CategoryListItem,0,0,6,0,0,9,0,0,0,-1,0,2
SimplCommerce,CategoryMenuItem,0,2,5,0,2,17,2,0,0,-1,0,1
SimplCommerce,CategoryThumbnail,0,1,6,0,1,20,1,0,0,-1,2,2
SimplCommerce,CategoryTranslationForm,0,0,3,0,0,6,0,0,0,-1,0,1
SimplCommerce,CategoryWidgetComponentVm,0,0,3,0,0,6,0,0,0,-1,1,1
SimplCommerce,CategoryWidgetForm,0,0,1,0,0,4,0,0,1,-1,2,1
SimplCommerce,CategoryWidgetSettings,0,0,1,0,0,4,0,0,0,-1,0,3
SimplCommerce,FilterBrand,0,0,4,0,0,7,0,0,0,-1,0,3
SimplCommerce,FilterCategory,0,0,5,0,0,8,0,0,0,-1,0,4
SimplCommerce,FilterOption,0,0,3,0,0,6,0,0,0,-1,3,6
SimplCommerce,FilterPrice,0,0,2,0,0,5,0,0,0,-1,0,1
SimplCommerce,ProductAttributeFormVm,0,0,3,0,0,8,0,0,0,-1,0,1
SimplCommerce,ProductAttributeGroupFormVm,0,0,2,0,0,6,0,0,0,-1,0,1
SimplCommerce,ProductAttributeVm,0,0,5,0,0,8,0,0,0,-1,0,4
SimplCommerce,ProductCategoryForm,0,0,3,0,0,6,0,0,0,-1,0,1
SimplCommerce,ProductCloneFormVm,0,0,3,0,0,8,0,0,0,-1,0,1
SimplCommerce,ProductDetail,0,0,25,0,0,47,0,0,0,-1,9,1
SimplCommerce,ProductDetailAttribute,0,0,2,0,0,5,0,0,0,-1,0,2
SimplCommerce,ProductDetailCategory,0,0,3,0,0,6,0,0,0,-1,0,2
SimplCommerce,ProductDetailOption,0,0,3,0,0,6,0,0,0,-1,0,1
SimplCommerce,ProductDetailVariation,0,0,10,0,0,13,0,0,0,-1,3,2
SimplCommerce,ProductDetailVariationOption,0,0,3,0,0,6,0,0,0,-1,0,2
SimplCommerce,ProductForm,0,0,4,0,0,7,0,0,0,-1,1,1
SimplCommerce,ProductLinkVm,0,0,3,0,0,6,0,0,0,-1,0,3
SimplCommerce,ProductListItem,0,0,10,0,0,13,0,0,0,-1,0,1
SimplCommerce,ProductMediaVm,0,0,3,0,0,6,0,0,0,-1,0,2
SimplCommerce,ProductOptionCombinationVm,0,0,4,0,0,7,0,0,0,-1,0,2
SimplCommerce,ProductOptionDisplay,0,0,2,0,0,5,0,0,0,-1,0,2
SimplCommerce,ProductOptionFormVm,0,0,2,0,0,6,0,0,0,-1,0,1
SimplCommerce,ProductOptionValueVm,0,0,2,0,0,5,0,0,0,-1,0,3
SimplCommerce,ProductOptionVm,0,0,4,0,0,7,0,0,0,-1,1,2
SimplCommerce,ProductPriceItemForm,0,0,4,0,0,7,0,0,0,-1,0,1
SimplCommerce,ProductsByBrand,0,0,8,0,0,15,0,0,0,-1,3,1
SimplCommerce,ProductsByCategory,0,0,12,0,0,19,0,0,0,-1,3,1
SimplCommerce,ProductTemplateFrom,0,0,3,0,0,7,0,0,0,-1,1,1
SimplCommerce,ProductThumbnail,0,1,16,0,1,40,1,0,0,-1,3,15
SimplCommerce,ProductTranslationForm,0,0,5,0,0,8,0,0,0,-1,0,1
SimplCommerce,ProductVariationVm,0,0,12,0,0,21,0,0,0,-1,1,2
SimplCommerce,ProductVm,0,1,33,0,1,45,1,0,0,-1,5,2
SimplCommerce,ProductWidgetComponentVm,0,0,4,0,0,7,0,0,0,-1,2,1
SimplCommerce,ProductWidgetForm,0,0,1,0,0,4,0,0,1,-1,2,1
SimplCommerce,ProductWidgetOrderBy,0,0,0,0,0,6,0,0,0,-1,0,2
SimplCommerce,ProductWidgetSetting,0,0,4,0,0,8,0,0,0,-1,1,4
