Project,Method,LOC,CC,PC
SimplCommerce,CategoryTranslationApiController,4,1,2
SimplCommerce,Get,17,2,2
SimplCommerce,Put,20,3,3
SimplCommerce,CreateOrUpdateTranslation,15,2,4
SimplCommerce,CategoryWidgetApiController,3,1,1
SimplCommerce,Get,14,1,1
SimplCommerce,Post,19,2,1
SimplCommerce,Put,15,2,2
SimplCommerce,ProductApiController,11,1,9
SimplCommerce,QuickSearch,14,2,1
SimplCommerce,Get,118,7,1
SimplCommerce,List,61,10,1
SimplCommerce,Post,77,6,1
SimplCommerce,Put,76,7,2
SimplCommerce,ChangeStatus,15,3,1
SimplCommerce,Delete,14,3,1
SimplCommerce,GetProductImageUrls,9,1,1
SimplCommerce,MapProductVariationVmToProduct,39,4,3
SimplCommerce,MapProductVariantImageFromVm,24,4,2
SimplCommerce,CreatePriceHistory,12,1,2
SimplCommerce,MapProductLinkVmToProduct,22,3,2
SimplCommerce,AddOrDeleteCategories,23,4,2
SimplCommerce,AddOrDeleteProductOption,30,4,2
SimplCommerce,AddOrDeleteProductVariation,74,9,3
SimplCommerce,AddOrDeleteProductLinks,44,9,2
SimplCommerce,AddOrDeleteProductAttribute,29,4,2
SimplCommerce,MapUploadedFile,28,6,1
SimplCommerce,SaveProductMedias,34,5,2
SimplCommerce,SaveFile,6,1,1
SimplCommerce,ProductAttributeApiController,3,1,1
SimplCommerce,List,11,1,0
SimplCommerce,Get,10,1,1
SimplCommerce,Post,14,2,1
SimplCommerce,Put,11,2,2
SimplCommerce,Delete,9,2,1
SimplCommerce,ProductAttributeGroupApiController,3,1,1
SimplCommerce,Get,10,1,0
SimplCommerce,Get,9,1,1
SimplCommerce,Post,13,2,1
SimplCommerce,Put,10,2,2
SimplCommerce,Delete,9,2,1
SimplCommerce,ProductCloneApiController,6,1,4
SimplCommerce,Get,9,1,1
SimplCommerce,Post,26,3,1
SimplCommerce,CreatePriceHistory,12,1,2
SimplCommerce,ProductController,7,1,5
SimplCommerce,ProductOverview,29,2,1
SimplCommerce,ProductDetail,43,2,1
SimplCommerce,MapProductImagesToProductVm,7,1,2
SimplCommerce,MapProductOptionToProductVm,13,4,2
SimplCommerce,MapProductVariantToProductVm,43,4,2
SimplCommerce,MapRelatedProductToProductVm,19,4,2
SimplCommerce,ProductOptionApiController,3,1,1
SimplCommerce,Get,4,1,0
SimplCommerce,Get,9,1,1
SimplCommerce,Post,13,2,1
SimplCommerce,Put,10,2,2
SimplCommerce,Delete,9,2,1
SimplCommerce,ProductPriceApiController,4,1,2
SimplCommerce,List,37,5,1
SimplCommerce,Put,36,6,1
SimplCommerce,ProductTemplateApiController,5,1,3
SimplCommerce,Get,10,1,0
SimplCommerce,Get,19,1,1
SimplCommerce,Post,17,3,1
SimplCommerce,Put,27,5,2
SimplCommerce,Delete,10,2,1
SimplCommerce,ProductTranslationApiController,4,1,2
SimplCommerce,Get,19,2,2
SimplCommerce,Put,24,3,3
SimplCommerce,CreateOrUpdateTranslation,15,2,4
SimplCommerce,ProductWidgetApiController,3,1,1
SimplCommerce,Get,15,1,1
SimplCommerce,Post,19,2,1
SimplCommerce,Put,15,2,2
SimplCommerce,GetAvailableOrderBy,4,1,0
SimplCommerce,SimpleProductWidgetApiController,3,1,2
SimplCommerce,Get,18,2,1
SimplCommerce,Post,19,2,1
SimplCommerce,Put,15,2,2
SimplCommerce,BrandForm,3,1,0
SimplCommerce,CategoryForm,3,1,0
SimplCommerce,CategoryMenuItem,3,1,0
SimplCommerce,AddChildItem,4,1,1
SimplCommerce,FromCategory,10,1,1
SimplCommerce,FromProduct,20,1,1
SimplCommerce,ProductVm,6,1,0
SimplCommerce,ToDictionary,28,7,0
SimplCommerce,GetBrands,3,1,0
SimplCommerce,GetCategories,3,1,0
SimplCommerce,ToJson,5,1,0
SimplCommerce,Build,43,1,1
SimplCommerce,Remove,0,1,1
SimplCommerce,ProductTemplateProductAttributeRepository,3,1,1
SimplCommerce,Remove,3,1,1
SimplCommerce,ReviewSummaryChangedHandler,3,1,1
SimplCommerce,Handle,8,2,2
SimplCommerce,CalculatedProductPrice,3,1,1
SimplCommerce,AddCategory,4,1,1
SimplCommerce,AddMedia,4,1,1
SimplCommerce,AddAttributeValue,4,1,1
SimplCommerce,AddOptionValue,4,1,1
SimplCommerce,AddProductLinks,4,1,1
SimplCommerce,AddOptionCombination,4,1,1
SimplCommerce,Clone,48,3,0
SimplCommerce,ProductOption,2,1,0
SimplCommerce,ProductOption,3,1,1
SimplCommerce,ProductPriceHistory,3,1,0
SimplCommerce,AddAttribute,8,1,1
SimplCommerce,ConfigureServices,9,1,1
SimplCommerce,Configure,2,1,2
SimplCommerce,BrandService,4,1,2
SimplCommerce,Create,11,1,1
SimplCommerce,Update,5,1,1
SimplCommerce,Delete,4,1,1
SimplCommerce,Delete,5,1,1
SimplCommerce,CategoryService,4,1,2
SimplCommerce,GetAll,24,3,0
SimplCommerce,Create,11,1,1
SimplCommerce,Update,5,1,1
SimplCommerce,Delete,5,1,1
SimplCommerce,Create,0,1,1
SimplCommerce,Update,0,1,1
SimplCommerce,Delete,0,1,1
SimplCommerce,Delete,0,1,1
SimplCommerce,GetAll,0,1,0
SimplCommerce,Create,0,1,1
SimplCommerce,Update,0,1,1
SimplCommerce,Delete,0,1,1
SimplCommerce,CalculateProductPrice,0,1,1
SimplCommerce,CalculateProductPrice,0,1,1
SimplCommerce,CalculateProductPrice,0,1,5
SimplCommerce,Create,0,1,1
SimplCommerce,Update,0,1,1
SimplCommerce,Delete,0,1,1
SimplCommerce,ProductPricingService,3,1,1
SimplCommerce,CalculateProductPrice,3,1,1
SimplCommerce,CalculateProductPrice,3,1,1
SimplCommerce,CalculateProductPrice,22,4,5
SimplCommerce,ProductService,4,1,2
SimplCommerce,Create,11,1,1
SimplCommerce,Update,23,4,1
SimplCommerce,Delete,5,1,1
SimplCommerce,OrderSummaryViewComponent,5,1,3
SimplCommerce,InvokeAsync,9,2,1
SimplCommerce,CheckoutApiController,6,1,4
SimplCommerce,UpdateTaxAndShippingPrices,14,3,2
SimplCommerce,CreateOrder,21,4,2
SimplCommerce,UserAddress,27,2,3
SimplCommerce,InvoiceApiController,7,1,5
SimplCommerce,Print,64,3,1
SimplCommerce,OrderApiController,6,1,4
SimplCommerce,Get,29,4,2
SimplCommerce,List,53,9,1
SimplCommerce,Get,69,4,1
SimplCommerce,ChangeStatus,30,4,2
SimplCommerce,GetOrderStatus,4,1,0
SimplCommerce,Export,98,10,1
SimplCommerce,OrderLinesExport,111,10,2
SimplCommerce,OrderController,6,1,4
SimplCommerce,OrderHistoryList,32,3,0
SimplCommerce,OrderDetails,69,4,1
SimplCommerce,OrderHistoryApiController,3,1,1
SimplCommerce,Get,14,1,1
SimplCommerce,OrderDetailVm,3,1,1
SimplCommerce,OrderHistoryListItem,3,1,1
SimplCommerce,OrderItemVm,3,1,1
SimplCommerce,GetVariationOption,11,2,1
SimplCommerce,Build,35,1,1
SimplCommerce,AfterOrderCreated,3,1,1
SimplCommerce,AfterOrderCreatedSendEmailHanlder,3,1,1
SimplCommerce,Handle,3,1,2
SimplCommerce,OrderChangedCreateOrderHistoryHandler,3,1,1
SimplCommerce,Handle,17,2,2
SimplCommerce,OrderCreated,3,1,1
SimplCommerce,OrderCreatedClearCartHandler,3,1,1
SimplCommerce,Handle,11,3,2
SimplCommerce,OrderCreatedCreateOrderHistoryHandler,3,1,1
SimplCommerce,Handle,16,2,2
SimplCommerce,Order,6,1,0
SimplCommerce,AddOrderItem,4,1,1
SimplCommerce,ConfigureServices,10,1,1
SimplCommerce,Configure,2,1,2
SimplCommerce,SendEmailToUser,0,1,2
SimplCommerce,CreateOrder,0,1,4
SimplCommerce,CreateOrder,0,1,7
SimplCommerce,CancelOrder,0,1,1
SimplCommerce,GetTax,0,1,4
SimplCommerce,OrderCancellationBackgroundService,4,1,2
SimplCommerce,ExecuteAsync,15,2,1
SimplCommerce,CancelFailedPaymentOrders,21,2,4
SimplCommerce,OrderEmailService,4,1,2
SimplCommerce,SendEmailToUser,5,1,2
SimplCommerce,OrderService,13,1,11
SimplCommerce,CreateOrder,71,5,4
SimplCommerce,CreateOrder,174,17,7
SimplCommerce,CancelOrder,12,3,1
SimplCommerce,GetTax,20,3,4
SimplCommerce,CheckForDiscountIfAny,12,2,1
SimplCommerce,ValidateShippingMethod,13,2,3
SimplCommerce,CarouselWidgetViewComponent,4,1,2
SimplCommerce,Invoke,19,6,1
SimplCommerce,MenuViewComponent,5,1,3
SimplCommerce,InvokeAsync,17,3,1
SimplCommerce,Map,18,2,2
SimplCommerce,SpaceBarWidgetViewComponent,5,1,3
SimplCommerce,Invoke,18,5,1
SimplCommerce,CarouselWidgetApiController,4,1,2
SimplCommerce,Get,18,2,1
SimplCommerce,Post,25,3,1
SimplCommerce,Put,27,5,2
SimplCommerce,ModelBindUploadFiles,7,2,1
SimplCommerce,SaveFile,6,1,1
SimplCommerce,HtmlWidgetApiController,3,1,1
SimplCommerce,Get,14,1,1
SimplCommerce,Post,19,2,1
SimplCommerce,Put,15,2,2
SimplCommerce,MenuApiController,4,1,2
SimplCommerce,Get,12,1,0
SimplCommerce,Get,26,2,1
SimplCommerce,AddItem,34,4,2
SimplCommerce,DeleteItem,10,2,1
SimplCommerce,Post,14,2,1
SimplCommerce,Put,33,6,2
SimplCommerce,Delete,14,3,1
SimplCommerce,PageApiController,5,1,3
SimplCommerce,Get,14,1,0
SimplCommerce,Get,15,1,1
SimplCommerce,Post,21,2,1
SimplCommerce,Put,23,3,2
SimplCommerce,Delete,9,2,1
SimplCommerce,PageController,4,1,2
SimplCommerce,PageDetail,16,2,1
SimplCommerce,PageTranslationApiController,4,1,2
SimplCommerce,Get,17,2,2
SimplCommerce,Put,20,3,3
SimplCommerce,CreateOrUpdateTranslation,15,2,4
SimplCommerce,SpaceBarWidgetApiContorller,4,1,2
SimplCommerce,Get,22,3,1
