Project,Design smell,Namespace,Class,File,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Areas.Core.ViewModels.Account,SendCodeViewModel,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\Account\SendCodeViewModel.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Areas.Core.ViewModels.Account,VerifyCodeViewModel,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\Account\VerifyCodeViewModel.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Areas.Core.ViewModels,AppSettingVm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\AppSettingVm.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Areas.Core.ViewModels,BreadcrumbViewModel,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\BreadcrumbViewModel.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Areas.Core.ViewModels,CustomerGroupForm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\CustomerGroupForm.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Areas.Core.ViewModels,HomeViewModel,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\HomeViewModel.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Areas.Core.ViewModels,MediaViewModel,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\MediaViewModel.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Areas.Core.ViewModels,ProjectItemVm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\ProjectItemVm.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Areas.Core.ViewModels,ThemeListItem,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\ThemeListItem.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Areas.Core.ViewModels,UserSearchOption,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\UserSearchOption.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Areas.Core.ViewModels.Manage,AddPhoneNumberViewModel,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\Manage\AddPhoneNumberViewModel.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Areas.Core.ViewModels.Manage,AddPhoneNumberViewModel,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\Manage\AddPhoneNumberViewModel.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Areas.Core.ViewModels.Manage,ChangePasswordViewModel,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\Manage\ChangePasswordViewModel.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Areas.Core.ViewModels.Manage,ConfigureTwoFactorViewModel,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\Manage\ConfigureTwoFactorViewModel.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Areas.Core.ViewModels.Manage,ConfigureTwoFactorViewModel,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\Manage\ConfigureTwoFactorViewModel.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Areas.Core.ViewModels.Manage,DefaultAddressViewComponentVm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\Manage\DefaultAddressViewComponentVm.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Areas.Core.ViewModels.Manage,FactorViewModel,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\Manage\FactorViewModel.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Areas.Core.ViewModels.Manage,FactorViewModel,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\Manage\FactorViewModel.cs,
