Project,Design smell,Namespace,Class,File
SimplCommerce,Broken Modularization,SimplCommerce.Module.Orders.Models,OrderItem,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Orders\Models\OrderItem.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Orders.Models,Order,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Orders\Models\Order.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Cms.Areas.Cms.ViewModels,CarouselWidgetItemForm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Cms\Areas\Cms\ViewModels\CarouselWidgetItemForm.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Cms.Areas.Cms.ViewModels,CarouselWidgetViewComponentItemVm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Cms\Areas\Cms\ViewModels\CarouselWidgetViewComponentItemVm.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Cms.Areas.Cms.ViewModels,MenuItemForm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Cms\Areas\Cms\ViewModels\MenuItemForm.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Cms.Areas.Cms.ViewModels,PageVm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Cms\Areas\Cms\ViewModels\PageVm.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Cms.Areas.Cms.ViewModels,SpaceBarWidgetSetting,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Cms\Areas\Cms\ViewModels\SpaceBarWidgetSetting.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Cms.Models,MenuItem,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Cms\Models\MenuItem.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Cms.Models,Menu,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Cms\Models\Menu.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Search.Areas.Search.ViewModels,SearchResult,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Search\Areas\Search\ViewModels\SearchResult.cs
