File,Smell
DesigniteProjects\Blog.Core\Blog.Core.Common\LogHelper\RequestInfo.cs,"['Unnecessary Abstraction', 'Unnecessary Abstraction', 'Unnecessary Abstraction', 'Unnecessary Abstraction', 'Unnecessary Abstraction', 'Unnecessary Abstraction', 'Unnecessary Abstraction', 'Unnecessary Abstraction', 'Unutilized Abstraction', 'Broken Modularization', 'Broken Modularization']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Seed\DBSeed.cs,"['Unutilized Abstraction', 'Duplicate Abstraction', 'Long Method', 'Complex Method']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Seed\FrameSeed.cs,"['Unutilized Abstraction', 'Duplicate Abstraction', 'Long Method', 'Long Parameter List', 'Long Parameter List', 'Long Parameter List', 'Long Parameter List', 'Long Parameter List', 'Long Parameter List', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Seed\MyContext.cs,"['Deficient Encapsulation', 'Deficient Encapsulation']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Static\StaticPayInfo.cs,"['Unutilized Abstraction', 'Broken Modularization']"
DesigniteProjects\Blog.Core\Blog.Core.EventBus\EventBusKafka\EventBusKafka.cs,"['Unfactored Hierarchy', 'Long Statement', 'Long Statement', 'Long Statement']"
DesigniteProjects\Blog.Core\Blog.Core.EventBus\EventBusKafka\KafkaConnectionPool.cs,"['Magic Number', 'Magic Number', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.EventBus\EventBusKafka\KafkaConsumerHostService.cs,"['Duplicate Abstraction', 'Feature Envy', 'Empty Catch Block']"
DesigniteProjects\Blog.Core\Blog.Core.EventBus\EventBusKafka\KafkaOptions.cs,"['Unnecessary Abstraction', 'Broken Modularization']"
DesigniteProjects\Blog.Core\Blog.Core.EventBus\EventBusSubscriptions\InMemoryEventBusSubscriptionsManager.cs,['Rebellious Hierarchy']
DesigniteProjects\Blog.Core\Blog.Core.EventBus\RabbitMQPersistent\EventBusRabbitMQ.cs,"['Long Parameter List', 'Long Statement', 'Long Statement', 'Long Statement', 'Magic Number', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.EventBus\RabbitMQPersistent\RabbitMQPersistentConnection.cs,"['Long Statement', 'Long Statement', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Extensions\AOP\BlogLogAOP.cs,"['Long Method', 'Long Statement', 'Long Statement']"
DesigniteProjects\Blog.Core\Blog.Core.Extensions\AOP\BlogUserAuditAOP.cs,['Complex Method']
DesigniteProjects\Blog.Core\Blog.Core.Extensions\AOP\CacheAOPbase.cs,"['Complex Method', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Extensions\Apollo\ApolloOptions.cs,"['Unnecessary Abstraction', 'Unnecessary Abstraction']"
DesigniteProjects\Blog.Core\Blog.Core.Extensions\Apollo\ConfigurationBuilderExtensions.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Extensions\Authorizations\Behaviors\UserBehaviorService.cs,['Rebellious Hierarchy']
DesigniteProjects\Blog.Core\Blog.Core.Extensions\Authorizations\Helpers\JwtHelper.cs,"['Unnecessary Abstraction', 'Long Statement', 'Magic Number', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Extensions\Authorizations\Policys\ApiResponseHandler.cs,"['Rebellious Hierarchy', 'Long Parameter List']"
DesigniteProjects\Blog.Core\Blog.Core.Extensions\Authorizations\Policys\PermissionHandler.cs,"['Long Method', 'Complex Method', 'Long Parameter List', 'Empty Catch Block']"
DesigniteProjects\Blog.Core\Blog.Core.Extensions\Authorizations\Policys\PermissionItem.cs,['Unnecessary Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Extensions\Authorizations\Policys\PermissionRequirement.cs,['Long Parameter List']
DesigniteProjects\Blog.Core\Blog.Core.Extensions\EventHandling\BlogQueryIntegrationEventHandler.cs,['Long Statement']
DesigniteProjects\Blog.Core\Blog.Core.Extensions\HostedService\Job1TimedService.cs,"['Magic Number', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Extensions\HostedService\Job2TimedService.cs,"['Magic Number', 'Magic Number', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Extensions\Middlewares\AllServicesMiddleware.cs,"['Unutilized Abstraction', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement']"
DesigniteProjects\Blog.Core\Blog.Core.Extensions\Middlewares\ByPassAuthMiddleware.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Extensions\Middlewares\EncryptionRequestMiddleware.cs,"['Unutilized Abstraction', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Extensions\Middlewares\EncryptionResponseMiddleware.cs,"['Unutilized Abstraction', 'Long Statement', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Extensions\Middlewares\IpLimitMiddleware.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Extensions\Middlewares\IpLogMiddleware.cs,"['Complex Method', 'Long Statement']"
DesigniteProjects\Blog.Core\Blog.Core.Extensions\Middlewares\JwtTokenAuthMiddleware.cs,['Magic Number']
DesigniteProjects\Blog.Core\Blog.Core.Extensions\Middlewares\MiddlewareHelpers.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Extensions\Middlewares\MiniProfilerMiddleware.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Extensions\Middlewares\RecordAccessLogsMiddleware.cs,"['Long Statement', 'Broken Modularization']"
DesigniteProjects\Blog.Core\Blog.Core.Extensions\Middlewares\SwaggerAuthMiddleware.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Extensions\Middlewares\SwaggerMiddleware.cs,"['Unutilized Abstraction', 'Long Statement', 'Long Statement']"
DesigniteProjects\Blog.Core\Blog.Core.Extensions\NacosConfig\NacosListenConfigurationTask.cs,['Empty Catch Block']
DesigniteProjects\Blog.Core\Blog.Core.Extensions\NacosConfig\NacosListenNamingTask.cs,"['Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Extensions\Redis\RedisBasketRepository.cs,['Insufficient Modularization']
DesigniteProjects\Blog.Core\Blog.Core.Extensions\ServiceExtensions\AppConfigSetup.cs,"['Unutilized Abstraction', 'Magic Number', 'Magic Number', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Extensions\ServiceExtensions\Authentication_AuthingSetup.cs,"['Unutilized Abstraction', 'Long Statement']"
DesigniteProjects\Blog.Core\Blog.Core.Extensions\ServiceExtensions\Authentication_Ids4Setup.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Extensions\ServiceExtensions\Authentication_JWTSetup.cs,"['Unutilized Abstraction', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Extensions\ServiceExtensions\AuthorizationSetup.cs,"['Unutilized Abstraction', 'Magic Number', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Extensions\ServiceExtensions\AutoMapperSetup.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Extensions\ServiceExtensions\AutofacModuleRegister.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Extensions\ServiceExtensions\CorsSetup.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Extensions\ServiceExtensions\DbSetup.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Extensions\ServiceExtensions\EventBusSetup.cs,"['Unutilized Abstraction', 'Long Statement', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Extensions\ServiceExtensions\GenericTypeExtensions.cs,['Unutilized Abstraction']
