Project Name,File Path,Line Count
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Helper\RSAHelperExtend.cs,385
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Helper\SerializeHelper.cs,35
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Helper\ShaHelper.cs,1096
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Helper\SM\SM4.cs,301
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Helper\SM\SM4_Context.cs,18
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Helper\SM\SM4Helper.cs,96
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Helper\StringHelper.cs,111
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Helper\UnicodeHelper.cs,47
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Helper\UrlHelper.cs,23
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Helper\UtilConvert.cs,312
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Helper\WeChatHelper.cs,310
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Helper\XmlHelper.cs,63
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\HttpContextUser\AspNetUser.cs,140
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\HttpContextUser\IUser.cs,21
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\HttpRestSharp\HttpHelper.cs,67
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\HttpRestSharp\IRestSharp.cs,43
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\HttpRestSharp\RestSharpClient.cs,135
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Https\FluentHttpResponseStream.cs,75
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Https\HttpPolly\HttpPollyHelper.cs,354
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Https\HttpPolly\IHttpPollyHelper.cs,19
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Https\RequestIpUtility.cs,83
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Hubs\ChatHub.cs,109
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Hubs\IChatClient.cs,24
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\LogHelper\LogContextExtension.cs,42
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\LogHelper\LogContextStatic.cs,42
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\LogHelper\LogInfo.cs,13
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\LogHelper\LogLock.cs,614
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\LogHelper\RequestInfo.cs,109
Blog.Core,"C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs",4
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\obj\Debug\net8.0\Blog.Core.Common.AssemblyInfo.cs,23
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\obj\Debug\net8.0\Blog.Core.Common.GlobalUsings.g.cs,8
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Option\Core\ConfigurableOptions.cs,61
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Option\Core\IConfigurableOptions.cs,11
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Option\RedisOptions.cs,24
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Option\SeqOptions.cs,18
Blog.Core,C:\Users\AT09490\Documents\CodeSmells\data\StudyCodeSmells\ProcessedData\RQ3\Clone\Blog.Core\Blog.Core.Common\Seed\DBSeed.cs,645
