Project,File,Broken Hierarchy,Broken Modularization,Complex Conditional,Complex Method,Cyclic Hierarchy,Cyclically-dependent Modularization,Deficient Encapsulation,Duplicate Abstraction,Duplicate Code,Empty Catch Block,Feature Envy,Hub-like Modularization,Insufficient Modularization,Long Identifier,Long Method,Long Parameter List,Long Statement,Magic Number,Missing Default,Multipath Hierarchy,Rebellious Hierarchy,Unfactored Hierarchy,Unnecessary Abstraction,Unutilized Abstraction,Virtual Method Call from Constructor,Wide Hierarchy
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\HttpHelper.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.48275862068965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\IpHelper.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.607843137254903,0.0,0.0,0.0,0.0,0.0,0.0,19.607843137254903,0.0,0.0,0.0,0.0,0.0,0.0,19.607843137254903,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\JsonConfigUtils.cs,0.0,4.132231404958678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.132231404958678,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\JsonHelper.cs,0.0,0.0,9.398496240601503,5.639097744360902,0.0,0.0,0.0,0.0,0.0,3.759398496240602,0.0,0.0,0.0,0.0,1.879699248120301,0.0,3.759398496240602,28.19548872180451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\MD5Hepler.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.408163265306122,0.0,0.0,0.0,0.0,0.0,10.204081632653061,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\NumberConverter.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.494252873563218,0.0,0.0,0.0,0.0,0.0,0.0,5.747126436781609,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\PingYinHelper.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25925925925926,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\RSAHelper.cs,0.0,0.0,0.0,2.5641025641025643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.692307692307692,12.82051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\RSAHelperExtend.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5974025974025974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18181818181818,10.38961038961039,0.0,0.0,0.0,0.0,0.0,2.5974025974025974,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\RecursionHelper.cs,0.0,22.727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.545454545454545,4.545454545454545,0.0,0.0,0.0,0.0,0.0,9.09090909090909,9.09090909090909,0.0,0.0
