Project,Method,LOC,CC,PC
greenshot,HasRunUser,12,1,0
greenshot,DeleteRunAll,29,3,0
greenshot,DeleteRunUser,29,3,0
greenshot,SetRunUser,11,1,0
greenshot,IsInStartupFolder,29,5,0
greenshot,UpdateService,6,1,0
greenshot,Startup,3,1,0
greenshot,BackgroundTask,39,1,3
greenshot,UpdateCheck,24,5,1
greenshot,ShowUpdate,5,1,1
greenshot,ProcessFeed,12,3,1
greenshot,DocumentContainer,42,1,3
greenshot,DocumentContainer,4,1,2
greenshot,ReleaseCom,6,2,1
greenshot,Init,153,9,2
greenshot,CorrectFrameLocations,40,3,1
greenshot,GetDocumentFromWindow,51,2,1
greenshot,ScaleX,3,1,1
greenshot,ScaleY,3,1,1
greenshot,UnscaleX,3,1,1
greenshot,UnscaleY,3,1,1
greenshot,SetAttribute,3,1,2
greenshot,SetAttribute,6,1,2
greenshot,GetAttribute,7,1,1
greenshot,GetAttributeAsInt,4,1,1
greenshot,TitleFixProcessor,19,5,0
greenshot,ProcessCapture,19,4,2
greenshot,FramesForMillis,8,2,1
greenshot,Interval,0,1,0
greenshot,AnimatingForm,17,1,0
greenshot,Timer_Tick,14,2,2
greenshot,Animate,3,1,0
greenshot,BackgroundForm,12,1,2
greenshot,Show,17,4,0
greenshot,PreventFormClose,6,2,2
greenshot,Timer_checkforcloseTick,7,2,2
greenshot,CloseDialog,4,1,0
greenshot,BackgroundFormFormClosing,3,1,2
greenshot,Dispose,8,3,1
greenshot,InitializeComponent,43,1,0
greenshot,CreateWebBrowserSiteBase,3,1,0
greenshot,ExtendedWebBrowserSite,2,1,1
greenshot,QueryStatus,3,1,4
greenshot,Exec,11,3,5
greenshot,GreenshotColumnSorter,8,1,0
greenshot,Compare,32,6,2
greenshot,GreenshotComboBox,3,1,0
greenshot,SetValue,7,2,1
greenshot,Populate,10,2,1
greenshot,StoreSelectedEnum,27,4,0
greenshot,GetSelectedEnum,3,1,0
greenshot,GreenshotDoubleClickButton,3,1,0
greenshot,GreenshotForm,10,2,0
greenshot,GreenshotForm,3,1,0
greenshot,DpiChangedHandler,2,1,2
greenshot,InitializeForDesigner,28,5,0
greenshot,OnPaint,18,3,1
greenshot,OnLoad,25,3,1
greenshot,OnShown,7,2,1
greenshot,OnClosed,11,3,1
greenshot,ClearChangeNotifications,11,2,0
greenshot,RegisterChangeNotifications,8,2,0
greenshot,OnComponentChanged,21,5,2
greenshot,OnComponentAdded,29,6,2
greenshot,Dispose,7,2,1
greenshot,ApplyLanguage,25,5,2
greenshot,ApplyLanguage,6,2,1
greenshot,ApplyLanguage,26,7,1
greenshot,GetCachedFields,8,2,1
greenshot,ApplyLanguage,51,9,0
greenshot,ApplyLanguage,25,5,2
greenshot,FillFields,50,11,0
greenshot,OnFieldsFilled,2,1,0
greenshot,StoreFields,48,11,0
greenshot,RegisterHotKey,0,1,4
greenshot,UnregisterHotKey,0,1,2
greenshot,MapVirtualKey,0,1,2
greenshot,GetKeyNameText,0,1,3
greenshot,HotkeyControl,9,1,0
greenshot,PopulateModifierLists,38,6,0
greenshot,Clear,4,1,0
greenshot,HotkeyControl_KeyDown,13,2,2
greenshot,HotkeyControl_KeyUp,13,3,2
greenshot,HotkeyControl_KeyPress,3,1,2
greenshot,ProcessCmdKey,14,3,2
greenshot,ResetHotkey,5,1,0
greenshot,SetHotkey,5,1,1
greenshot,Redraw,58,9,1
greenshot,ToString,3,1,0
greenshot,GetLocalizedHotkeyStringFromString,5,1,1
greenshot,HotkeyToString,3,1,2
greenshot,HotkeyModifiersToString,20,5,1
greenshot,HotkeyToLocalizedString,3,1,2
greenshot,HotkeyModifiersToLocalizedString,20,5,1
greenshot,HotkeyModifiersFromString,23,6,1
greenshot,HotkeyFromString,12,3,1
greenshot,RegisterHotkeyHwnd,3,1,1
greenshot,RegisterHotKey,37,8,3
greenshot,UnregisterHotkeys,8,2,0
greenshot,HandleMessages,16,4,1
greenshot,GetKeyName,73,11,1
greenshot,OAuthLoginForm,21,2,4
greenshot,OnShown,4,1,1
greenshot,Browser_DocumentCompleted,4,1,2
greenshot,Browser_Navigating,4,1,2
greenshot,Browser_Navigated,4,1,2
greenshot,CheckUrl,14,3,0
greenshot,AddressTextBox_KeyPress,4,1,2
greenshot,Dispose,6,2,1
greenshot,InitializeComponent,38,1,0
greenshot,PleaseWaitForm,7,1,0
greenshot,ShowAndWait,54,3,3
greenshot,CancelButtonClick,5,1,2
greenshot,Dispose,8,3,1
greenshot,InitializeComponent,50,1,0
greenshot,QualityDialog,13,1,1
greenshot,Button_okClick,11,2,2
greenshot,TrackBarJpegQualityScroll,3,1,2
greenshot,Dispose,8,3,1
greenshot,InitializeComponent,91,1,0
greenshot,Dispose,4,1,0
greenshot,Dispose,10,3,1
greenshot,SaveImageFileDialog,4,1,1
greenshot,Init,28,3,0
greenshot,ApplyFilterOptions,16,3,0
greenshot,PrepareFilterOptions,16,3,0
greenshot,ShowDialog,5,1,0
greenshot,ApplySuggestedValues,4,1,0
greenshot,CleanUp,16,2,0
greenshot,ThumbnailForm,16,2,0
greenshot,Hide,4,1,0
greenshot,UnregisterThumbnail,5,2,0
greenshot,ShowThumbnail,52,9,2
greenshot,AlignToControl,11,2,1
greenshot,CompareTo,11,3,1
greenshot,DynamicDestinations,3,1,0
