Project,Design smell,Namespace,Class,File,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Interfaces.Drawing,IImageContainer,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Drawing\IImageContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Interfaces.Drawing,ITextContainer,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Drawing\ITextContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.IEInterop,IHTMLDocument2,DesigniteProjects\greenshot\src\Greenshot.Base\IEInterop\IHTMLDocument2.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Interfaces,ICaptureDetails,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\ICaptureDetails.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Interfaces.Drawing.Adorners,IAdorner,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Drawing\Adorners\IAdorner.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Interfaces.Drawing,IDrawableContainerList,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Drawing\IDrawableContainerList.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Interfaces.Drawing,IFieldAggregator,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Drawing\IFieldAggregator.cs,
greenshot,Broken Modularization,Greenshot.Plugin.Confluence,ConfluenceConfiguration,DesigniteProjects\greenshot\src\Greenshot.Plugin.Confluence\ConfluenceConfiguration.cs,
greenshot,Insufficient Modularization,GreenshotConfluencePlugin.confluence,ConfluenceSoapServiceService,DesigniteProjects\greenshot\src\Greenshot.Plugin.Confluence\Web References\confluence\Reference.cs,
greenshot,Insufficient Modularization,GreenshotConfluencePlugin.confluence,ConfluenceSoapServiceService,DesigniteProjects\greenshot\src\Greenshot.Plugin.Confluence\Web References\confluence\Reference.cs,
greenshot,Broken Modularization,GreenshotConfluencePlugin.confluence,RemoteSearchResult,DesigniteProjects\greenshot\src\Greenshot.Plugin.Confluence\Web References\confluence\Reference.cs,
greenshot,Broken Modularization,GreenshotConfluencePlugin.confluence,RemoteAttachment,DesigniteProjects\greenshot\src\Greenshot.Plugin.Confluence\Web References\confluence\Reference.cs,
greenshot,Broken Modularization,GreenshotConfluencePlugin.confluence,AbstractRemotePageSummary,DesigniteProjects\greenshot\src\Greenshot.Plugin.Confluence\Web References\confluence\Reference.cs,
greenshot,Broken Modularization,GreenshotConfluencePlugin.confluence,RemotePage,DesigniteProjects\greenshot\src\Greenshot.Plugin.Confluence\Web References\confluence\Reference.cs,
greenshot,Broken Modularization,GreenshotConfluencePlugin.confluence,RemoteSpaceSummary,DesigniteProjects\greenshot\src\Greenshot.Plugin.Confluence\Web References\confluence\Reference.cs,
greenshot,Broken Modularization,GreenshotConfluencePlugin.confluence,RemoteSpace,DesigniteProjects\greenshot\src\Greenshot.Plugin.Confluence\Web References\confluence\Reference.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Plugin.Confluence,ConfluenceDestination,DesigniteProjects\greenshot\src\Greenshot.Plugin.Confluence\ConfluenceDestination.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Plugin.Confluence.Forms,ConfluencePagePicker,DesigniteProjects\greenshot\src\Greenshot.Plugin.Confluence\Forms\ConfluencePagePicker.xaml.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Plugin.Confluence.Forms,ConfluenceSearch,DesigniteProjects\greenshot\src\Greenshot.Plugin.Confluence\Forms\ConfluenceSearch.xaml.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Plugin.Confluence.Forms,ConfluenceTreePicker,DesigniteProjects\greenshot\src\Greenshot.Plugin.Confluence\Forms\ConfluenceTreePicker.xaml.cs,
greenshot,Cyclically-dependent Modularization,GreenshotConfluencePlugin.confluence,AbstractRemotePageSummary,DesigniteProjects\greenshot\src\Greenshot.Plugin.Confluence\Web References\confluence\Reference.cs,
greenshot,Cyclically-dependent Modularization,GreenshotConfluencePlugin.confluence,RemotePage,DesigniteProjects\greenshot\src\Greenshot.Plugin.Confluence\Web References\confluence\Reference.cs,
greenshot,Cyclically-dependent Modularization,GreenshotConfluencePlugin.confluence,RemoteSpaceSummary,DesigniteProjects\greenshot\src\Greenshot.Plugin.Confluence\Web References\confluence\Reference.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Plugin.Confluence,ConfluenceDestination,DesigniteProjects\greenshot\src\Greenshot.Plugin.Confluence\ConfluenceDestination.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Plugin.Confluence.Forms,ConfluencePagePicker,DesigniteProjects\greenshot\src\Greenshot.Plugin.Confluence\Forms\ConfluencePagePicker.xaml.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Plugin.Confluence.Forms,ConfluenceUpload,DesigniteProjects\greenshot\src\Greenshot.Plugin.Confluence\Forms\ConfluenceUpload.xaml.cs,
greenshot,Cyclically-dependent Modularization,GreenshotConfluencePlugin.confluence,AbstractRemotePageSummary,DesigniteProjects\greenshot\src\Greenshot.Plugin.Confluence\Web References\confluence\Reference.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Plugin.Confluence,ConfluenceDestination,DesigniteProjects\greenshot\src\Greenshot.Plugin.Confluence\ConfluenceDestination.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Plugin.Confluence,ConfluenceDestination,DesigniteProjects\greenshot\src\Greenshot.Plugin.Confluence\ConfluenceDestination.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Plugin.Confluence.Forms,ConfluenceSearch,DesigniteProjects\greenshot\src\Greenshot.Plugin.Confluence\Forms\ConfluenceSearch.xaml.cs,
