Project,File Path,Line Count
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Drawing\IDrawableContainer.cs,115
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Drawing\IDrawableContainerList.cs,64
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Drawing\IField.cs,65
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Drawing\IFieldAggregator.cs,36
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Drawing\IFieldholder.cs,39
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Drawing\IIconContainer.cs,31
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Drawing\IImageContainer.cs,31
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Drawing\IMemento.cs,46
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Drawing\ITextContainer.cs,29
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Drawing\RenderMode.cs,29
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Drawing\Adorners\IAdorner.cs,118
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Forms\ImageEditor.cs,46
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Ocr\IOcrProvider.cs,46
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Ocr\Line.cs,101
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Ocr\OcrInformation.cs,74
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Ocr\Word.cs,41
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Plugin\HotKeyHandler.cs,4
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Plugin\IGreenshotHost.cs,49
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Plugin\IGreenshotPlugin.cs,36
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\Plugin\SurfaceOutputSettings.cs,113
