Project,Design smell,Namespace,Class,File
Blog.Core,Broken Modularization,Blog.Core.Common.DB,MutiDBOperate,DesigniteProjects\Blog.Core\Blog.Core.Common\DB\BaseDBConfig.cs
Blog.Core,Broken Modularization,Blog.Core.Common.Extensions,EnumDto,DesigniteProjects\Blog.Core\Blog.Core.Common\Extensions\EnumExtensions.cs
Blog.Core,Insufficient Modularization,Blog.Core.Common.Extensions,Extention,DesigniteProjects\Blog.Core\Blog.Core.Common\Extensions\Extention.Expression.cs
Blog.Core,Broken Modularization,Blog.Core.Common.Helper,DynamicLinqHelper,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\DynamicLinqFactory.cs
Blog.Core,Broken Modularization,Blog.Core.Common.Helper,NacosConfigDTO,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\JsonConfigUtils.cs
Blog.Core,Broken Modularization,Blog.Core.Common.Helper,PermissionTree,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\RecursionHelper.cs
Blog.Core,Broken Modularization,Blog.Core.Common.Helper,DepartmentTree,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\RecursionHelper.cs
Blog.Core,Broken Modularization,Blog.Core.Common.Helper,NavigationBar,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\RecursionHelper.cs
Blog.Core,Broken Modularization,Blog.Core.Common.Helper,NavigationBarMeta,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\RecursionHelper.cs
Blog.Core,Broken Modularization,Blog.Core.Common.Helper,NavigationBarPro,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\RecursionHelper.cs
Blog.Core,Insufficient Modularization,Blog.Core.Common.Helper,ShaHelper,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\ShaHelper.cs
Blog.Core,Insufficient Modularization,Blog.Core.Common.Helper,WeChatHelper,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\WeChatHelper.cs
